no.,state,county,city,parcelNumber,propertyNumber,propertyClass,civicNumber,streetName,postalCode,yearOfConstructionMin,yearOfConstructionMax,yearOfConstruction,age,occupancy,description,style,finishAreaSqft,sizeSqft,crawlArea,slabArea,atticArea,bsmtArea,wallType,wallHeight,heatingArea,acArea,numOfFloors,buildingHeightAverage,numOfUnits,grossFloorArea,assessmentYear,buildingAssessedValueTotal,medianIncome,priceIncomeRatio,constructionType,heatType,numOfBedrooms,numOfLivingRooms,numOfDiningRooms,numOfFamilyRooms,numOfRoomsTotal,numOfFullBathTF,numOfHalfBathTF,numOfKitchenSinkTF,numOfWaterheatersTF,roofing,wallFinish,floorFinish,hasGarage,numOfGarage,garageType,garageAverageArea,garageConstructionSystem,hasDeck,deckConstructionType,deckAverageArea,hasPatio,patioConstructionType,patioAverageArea,hasBarn,barnConstructionType,barnAverageArea,hasShed,shedConstructionType,shedAverageArea,Link to Property Card,Archetype,Archetype_Name
35.0,IN,Sullivan,Sullivan,77-10-03-222-070.000-012,12.12.00.000275,Other Residential Structures,,S Section St,47882.0,2002,2002,2002,20,"Barn, Pole (T3)","Barn, Pole (T3) 1",,,24' x 24' x 9',,,,,,,No,,0.0,0.0,1.0,24' x 24' x 9',2022.0,4300.0,,,T3AW,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,,,,No,,,No,,,No,,,No,,,Property Card,0,Small Old Single-Family Homes
8.0,IN,Sullivan,Sullivan,77-10-03-222-039.000-012,12.12.00.001609,1 Family Dwell - Platted Lot,711.0,S Main St,47882.0,1940,2018,1940,82,Single-Family,Single-Family 1,BUNGALOW,1274,1274,1274,,,,,,No,1274,1.0,,1.0,1274,2022.0,29900.0,,,Wood Frame,Central Warm Air,3.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,Asphalt,,,No,0.0,,,,No,,,Yes,Concrete,360,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
79.0,IN ,Sullivan,Sullivan,77-10-03-222-027.000-012,12.12.00.001871, Other Residential Structures,804.0,S State St,47882.0,2000,2000,2000,22,"Barn, Pole (T3)","Barn, Pole (T3)",,,32' x 54' x 14',,,,,,,No,,0.0,,1.0,,2022.0,24900.0,,,T3AW,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,,,,,No,,,No,,,No,,,No,,,Property Card,0,Small Old Single-Family Homes
28.0,IN,Sullivan,Sullivan,77-10-03-222-003.000-012,12.12.00.002654,Other Commercial Structures,713.0,S Ohio St,47882.0,2013,2014,2013,9,C/I Building,C/I Building,,3200,2560,,,,,,,3200,3191,1.0,,0.0,3200,2022.0,91600.0,,,sv,Central Warm Air,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,,No,0.0,,,,No,,,Yes,Concrete,96,Yes,T30W,12' x 24' x 14',Yes,,96,Property Card,0,Small Old Single-Family Homes
20.0,IN,Sullivan,Sullivan,77-10-03-222-019.001-012,12.12.00.000076,Other Commercial Structures,115.0,E Silver St,47882.0,1998,1998,1998,24,"Barn, Pole (T3)","Barn, Pole (T3) 1",,48' x 56' x 11',48' x 56' x 11',,,,,,,No,,1.0,,1.0,48' x 56' x 11',2022.0,23800.0,,,T3AW,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,,,,No,,,No,,,No,,,No,,,Property Card,0,Small Old Single-Family Homes
85.0,IN,Sullivan,Sullivan,77-10-03-222-006.000-012,12.12.00.001031, Vacant - Platted Lot,809.0,Ohio St,47882.0,,,,,,,,,,,,,,,,,,,,,,2022.0,2400.0,,,,,,,,,,,,,,,,,No,,,,,No,,,No,,,No,,,No,,,Property Card,2,Mobile or Manufactured Homes
26.0,IN,Sullivan,Sullivan,77-10-03-222-013.000-012,12.12.00.000933,Mobile or Manufactured Home - Plat,721.0,S State St,47882.0,2002,2013,2002,20,Single-Family,Single-Family 1,ROW,1232,1232,,1232.0,,,,,No,1232,1.0,,1.0,1232,2022.0,50700.0,,,sv,Central Warm Air,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,Asphalt,,,Yes,2.0,detached,"324, 576","Pole, Wood Frame",Yes,Wood,128,No,,,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
54.0,IN ,Sullivan,Sullivan,77-10-03-221-008.000-011,11.11.00.001502,1 Family Dwell - Unplatted (0 to 9.9,511.0,E Silver St,47882.0,2017,2015,2017,5,Single-Family,Single-Family 1,,1860,1860,1860,,,,,,No,,1.0,,1.0,1860,2022.0,168000.0,,,Wood Frame,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,Yes,1.0,attached,792,,Yes,Wood,"240, 168",No,,,Yes,T3AW,32' x 48' x 14',No,,,Property Card,3,Large Older or Mixed-Use Buildings
14.0,IN,Sullivan,Sullivan,77-10-03-222-020.000-012,12.12.00.002764,Commercial Garage,115.0,E Silver St,47882.0,1970,1995,1970,52,C/I Building,C/I Building,,6221,6221,,,,,1: 3(378'),"14', 9', 14', 10'",7471,4450,1.0,,0.0,3200,2022.0,65500.0,,,Concrete,Central Warm Air,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,,,,No,,,No,,,No,,,No,,,Property Card,0,Small Old Single-Family Homes
25.0,IN,Sullivan,Sullivan,77-10-03-222-015.000-012,12.12.00.001605,1 Family Dwell - Platted Lot,711.0,S State St,47882.0,1975,1984,1975,47,Single-Family,Single-Family 1,TRI-LEVEL,1600,1600,1600,,,,,,No,1600,1.0,,1.0,1600,2022.0,53500.0,,,Wood Frame,Central Warm Air,3.0,1.0,1.0,0.0,9.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,detached,576,Wood Frame,No,,,No,,,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
4.0,IN,Sullivan,Sullivan,77-07-34-332-030.000-012,12.12.00.002148,1 Family Dwell - Platted Lot,341.0,S Main St,47882.0,1915,1950,1915,72,Single-Family,Single-Family 1,BUNGALOW,2160,2160,488,,,488.0,,,No,1/2:1184 1:976,1.5,,1.0,2160,2022.0,44000.0,,,Wood Frame,Central Warm Air,3.0,1.0,1.0,0.0,9.0,2.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,detached,,Wood Frame,No,,,No,,,No,,,Yes,,1,Property Card,3,Large Older or Mixed-Use Buildings
18.0,IN,Sullivan,Sullivan,77-10-03-222-025.000-012,12.12.00.002089,1 Family Dwell - Platted Lot,20.0,E Illinois St,47882.0,1930,1930,1030,92,Single-Family,Single-Family 1,BUNGALOW,528,528,,528.0,,,,,No,,1.0,,1.0,528,2022.0,9100.0,,,Wood Frame,,2.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,attached,216,,No,,,No,,,No,,,Yes,,1,Property Card,3,Large Older or Mixed-Use Buildings
39.0,IN,Sullivan,Sullivan,77-10-03-222-060.000-012,12.12.00.001844,1 Family Dwell - Platted Lot,725.0,S Court St,47882.0,1910,1940,1910,82,Single-Family,Single-Family 1,BUNGALOW,1584,1584,1200,384.0,,,,,No,,1.0,,1.0,1584,2022.0,19300.0,,,Wood Frame,,4.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,Metal,,,No,0.0,,,,Yes,Wood ,272,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
9.0,IN,Sullivan,Sullivan,77-10-03-222-038.000-012,12.12.00.002202,1 Family Dwell - Platted Lot,713.0,S Main St,47882.0,1940,1955,1940,82,Single-Family,Single-Family 1,BUNGALOW,898,898,898,,,,,,No,898,1.0,,1.0,898,2022.0,21000.0,,,Wood Frame,Central Warm Air,1.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,Asphalt,,,No,0.0,,,,No,,,Yes,Concrete,60,No,,,Yes,,64,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
88.0,IN ,Sullivan,Sullivan,77-10-03-222-009.000-012,12.12.00.000185, Vacant - Platted Lot,809.0,Ohio St,47882.0,,,,,,,,,,,,,,,,,,,,,,2022.0,1500.0,,,,,,,,,,,,,,,,,No,,,,,No,,,No,,,No,,,No,,,Property Card,2,Mobile or Manufactured Homes
7.0,IN,Sullivan,Sullivan,77-10-03-222-040.000-012,	12.12.00.001103,1 Family Dwell - Platted Lot,707.0,S Main St,47882.0,1986,2002,1986,36,Single-Family,Single-Family 1,TRI-LEVEL,1232,1232,1232,,,,,,No,,1.0,,1.0,1232,2022.0,41200.0,,,Wood Frame,Central Warm Air,2.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,attached,480,,No,,,No,,,No,,,Yes,,1,Property Card,3,Large Older or Mixed-Use Buildings
65.0,IN ,Sullivan,Sullivan,77-10-03-112-001.000-011,11.11.00.000581,1 Family Dwell - Platted Lot,89.0,S Co Rd 50 E,47882.0,1940,1960,1940,82,Single-Family,Single-Family 1,BUNGALOW,945,1890,,,,945.0,,,No,945,1.0,,1.0,1890,2022.0,58300.0,,,Wood Frame,Central Warm Air,2.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,attached,168,,Yes,Wood,240,Yes,Concrete,423,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
37.0,IN,Sullivan,Sullivan,77-10-03-222-062.000-012,12.12.00.002479,1 Family Dwell - Platted Lot,715.0,S Court St,47882.0,1920,1970,1920,52,Single-Family,Single-Family 1,CAPE COD,1664,1664,832,,832.0,,,,No,832,1.0,,1.0,1664,2022.0,32000.0,,,Wood Frame,,2.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,Asphalt,,,No,0.0,,,,No,,,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
81.0,IN,Sullivan,Sullivan,77-10-03-222-012.000-012,12.12.00.001028,1 Family Dwell - Platted Lot,803.0,S State St,47882.0,1920,1940,1920,82,Single-Family,Single-Family 1,BUNGALOW,1024,1024,1024,,,,,,No,,1.0,,1.0,,2022.0,10400.0,,,Wood Frame,Central Warm Air,3.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,Detached,1,,No,,,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Mobile or Manufactured Homes
55.0,IN ,Sullivan,Sullivan,77-10-03-221-007.000-011,11.11.00.000920,1 Family Dwell - Platted Lot,515.0,E Silver St,47882.0,1970,1970,1970,52,Single-Family,Single-Family 1,TRI-LEVEL,720,720,720,,,,,,No,,1.0,,1.0,720,2022.0,26300.0,,,Wood Frame,Central Warm Air,2.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,detached,225,Wood Frame,No,,,No,,,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
44.0,IN,Sullivan,Sullivan,77-10-03-222-043.000-012,12.12.00.002482,Other Residential Structures,704.0,S Main St,47882.0,1950,1950,1950,72,Detached Garage,Detached Garage 1,,,196,,,,,,,No,,0.0,,1.0,14'x14',2022.0,6200.0,,,Wood Frame,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,,,,No,,,No,,,No,,,No,,,Property Card,0,Small Old Single-Family Homes
51.0,IN,Sullivan,Sullivan,77-10-03-222-050.000-012,12.12.00.002010, 1 Family Dwell - Platted Lot,724.0,S Main St,47882.0,1930,1960,1930,82,Single-Family,Single-Family 1,BUNGALOW,877,877,877,,,,,,No,,1.0,,1.0,877,2022.0,25500.0,,,Wood Frame,,2.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,Asphalt,,,No,0.0,,,,No,,,No,,,No,,,Yes,Utility Shed 1,64,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
47.0,IN,Sullivan,Sullivan,77-10-03-222-046.000-012,12.12.00.001628,1 Family Dwell - Platted Lot,714.0,S Main St,47882.0,1940,1940,1940,82,Single-Family,Single-Family 1,BUNGALOW,1224,1530,918,,,306.0,,,No,1224,1.0,,1.0,1530,2022.0,10500.0,,,SV,,2.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,,576,,No,,,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
62.0,IN ,Sullivan,Sullivan,77-10-03-112-004.000-011,11.11.00.000661,1 Family Dwell - Platted Lot,607.0,E Silver St,47882.0,1950,1978,1950,62,Single-Family,Single-Family 1,BUNGALOW,972,1458,486,,,486.0,,,No,972,1.0,,1.0,1458,2022.0,61500.0,,,wood Frame,Central Warm Air,2.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,Metal,,,No,0.0,,,,Yes,Wood,304,No,,,Yes,T3AW,24' x 40' x 10',No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
,,,,,,,,,,,,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Small Old Single-Family Homes
16.0,IN,Sullivan,Sullivan,77-10-03-222-022.000-012,12.12.00.002917,1 Family Dwell - Platted Lot,714.0,S State St,47882.0,1920,1945,1920,58,Single-Family,Single-Family 1,CAPE COD,1404,2488,1404,,1084.0,,,,No,1:1404 A:1084,1.0,,1.0,2488,2022.0,45800.0,,,Wood Frame,Central Warm Air,3.0,1.0,1.0,0.0,5.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,detached,676,Concrete Block,No,,,No,,,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
73.0,IN ,Sullivan,Sullivan,77-10-03-222-055.000-012,12.12.00.002564,Other Retail Structures,812.0,S Main St,47882.0,1960,1972,1960,62,C/I Building,C/I Building,,2160,2160,,,,,1:2 (200'),14',2160,2160,1.0,,0.0,2160,2022.0,66400.0,,,Pole,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,,,,No,,,No,,,No,,,No,,,Property Card,0,Small Old Single-Family Homes
42.0,IN,Sullivan,Sullivan,77-10-03-222-057.000-012,12.12.00.002510,Vacant - Platted Lot,,S Court St,47882.0,,,,,,,,,7400,,,,,,,No,,,,,,2022.0,1500.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,No,,,No,,,No,,,No,,,Property Card,2,Mobile or Manufactured Homes
59.0,IN ,Sullivan,Sullivan,77-10-03-221-001.000-011,11.11.00.001538,1 Family Dwell - Platted Lot,541.0,E Silver St,47882.0,2014,2014,2014,8,Single-Family,Single-Family ,,1152,1152,1152,,,,,,No,1152,1.0,,1.0,1152,2022.0,137900.0,,,Wood Frame,Central Warm Air,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,Metal,,,No,0.0,,,,Yes,Wood,20,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
49.0,IN,Sullivan,Sullivan,77-10-03-222-048.000-012,12.12.00.001241,1 Family Dwell - Platted Lot,720.0,S Main St,47882.0,1945,2013,1945,77,Single-Family,Single-Family 1,BUNGALOW,936,936,936,,,,,,No,,1.0,,1.0,936,2022.0,35200.0,,,Wood Frame,,3.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,Metal,,,Yes,1.0,Detached Garage,768,Wood Frame,Yes,Wood ,72,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
80.0,IN ,Sullivan,Sullivan,77-10-03-222-028.000-012,12.12.00.002614,1 Family Dwell - Platted Lot,820.0,S State St,47882.0,1960,1960,1960,62,Single-Family,Single-Family 1, TRI-LEVEL,962,962,962,,,,,,No,,1.0,,1.0,,2022.0,32500.0,,,Wood Frame,Central Warm Air,2.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,Metal,,,No,,,,,No,,,Yes,Concrete,160,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
58.0,IN ,Sullivan,Sullivan,77-10-03-221-001.000-011,11.11.00.001538,1 Family Dwell - Platted Lot,541.0,E Silver St,47882.0,1936,1936,1936,86,Single-Family,Single-Family 1,BUNGALOW,1380,2070,690,1152.0,,690.0,,,No,,1.0,,1.0,2070,2022.0,137900.0,,,Wood Frame,Central Warm Air,2.0,1.0,1.0,0.0,6.0,2.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,attached,1152,,No,,,Yes,Concrete,"64, 48",No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
33.0,IN,Sullivan,Sullivan,77-10-03-222-066.000-012,12.12.00.002973,Vacant - Platted Lot,728.0,S Court St,47882.0,,,,,,,,,,,,,,,,No,,,,,,2022.0,1400.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,No,,,No,,,No,,,No,,,Property Card,2,Mobile or Manufactured Homes
86.0,IN ,Sullivan,Sullivan,77-10-03-222-007.000-012,12.12.00.000169,Mobile or Manufactured Home - Plat,809.0,Ohio St,47882.0,2009,2009,2009,13,Single-Family,Single-Family 1,,2304,2304,,2304.0,,,,,No,,1.0,,1.0,,2022.0,83700.0,,,Wood Frame,Central Warm Air,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,,,,No,,,,,No,,,No,,,Yes,T3AW,36' x 56' x 14',Yes,,144,Property Card,0,Small Old Single-Family Homes
60.0,IN ,Sullivan,Sullivan,77-10-03-221-010.000-011,11.11.00.001284,Mobile or Manufactured Home - Plat,42.0,S Co Rd 50 E,47882.0,1964,1969,1964,30,Single-Family,Single-Family 1,DOUBL-WIDE MFG H,1012,1012,,1012.0,,,,,No,1012,1.0,,1.0,1012,2022.0,70400.0,,,Wood Frame,Central Warm Air,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,detached,864,Concrete Block,Yes,Wood,60,No,,,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
64.0,IN ,Sullivan,Sullivan,77-10-03-112-002.000-011,11.11.00.000650,Mobile or Manufactured Home - Plat,75.0,S Co Rd 50 E,47882.0,1995,1995,1995,27,Single-Family,Single-Family 1,DOUBL-WIDE MFG H,1344,1344,,1344.0,,,,,No,1344,1.0,,1.0,1344,2022.0,72400.0,,,Wood Frame,Central Warm Air,3.0,1.0,1.0,0.0,6.0,2.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,detached,576,Wood Frame,Yes,Wood,"89, 186",No,,,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
78.0,IN ,Sullivan,Sullivan,77-10-03-222-026.000-012,12.12.00.000067,1 Family Dwell - Platted Lot,800.0,S State St,47882.0,1930,1950,1930,72,Single-Family,Single-Family 1,BUNGALOW,1196,1196,1196,,,,,,No,,1.0,,1.0,,2022.0,39800.0,,,Wood Frame,Central Warm Air,2.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,Metal,,,Yes,1.0,Detached,576,Wood Frame,Yes,Wood,256,No,,,No,,,Yes,,144,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
38.0,IN,Sullivan,Sullivan,77-10-03-222-061.000-012,12.12.00.002558,1 Family Dwell - Platted Lot,723.0,S Court St,47882.0,1930,1970,1930,82,Single-Family,Single-Family 1,BUNGALOW,1056,1488,432,192.0,,432.0,,,No,1056,1.0,,1.0,1056,2022.0,31100.0,,,Wood Frame,,2.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,Detached Garage,196,Wood Frame,Mp,,,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
30.0,IN,Sullivan,Sullivan,77-10-03-222-064.000-012,12.12.00.001427, Vacant - Unplatted (0 to 9.99 Acres),,S Section St,47882.0,,,,,,,,,,,,,,,,No,,,,,,2022.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,No,,,No,,,No,,,No,,,Property Card,2,Mobile or Manufactured Homes
2.0,IN,Sullivan,Sullivan,77-07-34-224-023.000-012,12.12.00.000846,Mobile or Manufactured Home - Plat,320.0,E Jackson St,47882.0,1986,1999,1986,32,Single-Family,Single-Family 1,DOUBL-WIDE MFG H,960,960,,960.0,,,,,No,960,1.0,,1.0,960,2022.0,67900.0,,,Wood Frame,Central Warm Air,2.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,atatched,,,No,,,Yes,Covered,,Yes,T3AW,28' x 46' x 12',No,,,Property Card,3,Large Older or Mixed-Use Buildings
